date,division,inflation
1996-01-01,01,5.834288990825676
1997-01-01,01,4.009210348096981
1998-01-01,01,8.946477405912233
1999-01-01,01,4.673679177623735
2000-01-01,01,1.9184652278177339
2001-01-01,01,0.6610644257702969
2002-01-01,01,0.690115761353538
2003-01-01,01,1.2160070749502427
2004-01-01,01,2.1952817824377524
2005-01-01,01,3.7512023084321777
2006-01-01,01,3.388957560774619
2007-01-01,01,3.018830327787203
2008-01-01,01,8.839458413926504
2009-01-01,01,4.131864226052961
2010-01-01,01,2.3892823619762638
2011-01-01,01,4.808734061171749
2012-01-01,01,2.687659033078882
2013-01-01,01,3.5620257085333673
2014-01-01,01,3.342305966801251
2015-01-01,01,3.632153968598506
2016-01-01,01,3.8120505480695455
2017-01-01,01,3.9478108817001534
2018-01-01,01,1.630434782608714
2019-01-01,01,1.6488413547236958
2020-01-01,01,1.2713722051731713
2021-01-01,01,1.7687074829931815
2022-01-01,01,5.74866310160429
2023-01-01,01,4.82703137570395
2024-01-01,01,1.9789496765705517
2025-01-01,01,2.0426812879642986
1981-01-01,02,12.873563218390792
1982-01-01,02,6.680244399185331
1983-01-01,02,21.000381825124094
1984-01-01,02,3.7866834963711016
1985-01-01,02,1.0641532380662788
1986-01-01,02,1.3537906137184086
1987-01-01,02,7.242505194419713
1988-01-01,02,1.4946028231386688
1989-01-01,02,1.4453231524406807
1990-01-01,02,3.279569892473111
1991-01-01,02,7.834461218115574
1992-01-01,02,8.544532947139771
1993-01-01,02,14.943295530353563
1994-01-01,02,4.8945637454053115
1995-01-01,02,2.379195868683137
1996-01-01,02,2.197802197802212
1997-01-01,02,1.2691697514542355
1998-01-01,02,4.386422976501314
1999-01-01,02,7.903951975987988
2000-01-01,02,2.8589089785195476
2001-01-01,02,4.762620192307709
2002-01-01,02,4.115875519862322
2003-01-01,02,-4.049586776859493
2004-01-01,02,10.809646856158484
2005-01-01,02,14.043269853607976
2006-01-01,02,6.963535158468703
2007-01-01,02,7.678419711129991
2008-01-01,02,7.357727586547003
2009-01-01,02,6.0817638952687325
2010-01-01,02,3.9230969082878486
2011-01-01,02,4.608333333333325
2012-01-01,02,0.3983111606787215
2013-01-01,02,5.9588986749187
2014-01-01,02,11.621985921821153
2015-01-01,02,13.511337716355843
2016-01-01,02,17.192671394799053
2017-01-01,02,0.15129355993745985
2018-01-01,02,-0.1107810060929526
2019-01-01,02,1.4921611130715329
2020-01-01,02,0.31788605771618794
2021-01-01,02,0.5050254988364644
2022-01-01,02,0.5665303709542435
2023-01-01,02,0.651513667091197
2024-01-01,02,0.6862315666520624
2025-01-01,02,0.9280742459396807
1981-01-01,03,8.975095785440622
1982-01-01,03,3.893820866660813
1983-01-01,03,3.519458544839238
1984-01-01,03,1.732592350441342
1985-01-01,03,1.1327120822622216
1986-01-01,03,0.46071967590752827
1987-01-01,03,0.46651379773858803
1988-01-01,03,2.1013694317645326
1989-01-01,03,1.7189547521775816
1990-01-01,03,1.697484086086698
1991-01-01,03,6.236959761549943
1992-01-01,03,2.9739776951672736
1993-01-01,03,0.5108643825352477
1994-01-01,03,-0.7725670913526606
1995-01-01,03,-0.020489004234391928
1996-01-01,03,-0.6831067695880821
1997-01-01,03,-0.5296100144439153
1998-01-01,03,0.5186004701977609
1999-01-01,03,-2.077457522184767
2000-01-01,03,-1.749209694415177
2001-01-01,03,-2.5811525811525793
2002-01-01,03,-2.2532110091743163
