Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","360","Indonesia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","37.352581","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","37.39728","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","37.31782","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","37.36748","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","37.640636","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","38.415397","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","38.474996","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","40.064255","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","41.425057","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","42.448143","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","41.877009","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","43.674856","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","44.191369","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","43.803984","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","43.4315","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","43.555659","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","44.037402","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","46.798745","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","44.325458","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","360","Indonesia","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","44.598614","X","Figure from external organization","base year is 2015"
